time,type,text,avc_Pedestrian.lane_id,avc_Pedestrian.pedestrian_id,avc_Pedestrian.speed,avc_Pedestrian.confidence,avc_Pedestrian.detector_type,source.id
2025-03-01T16:21:56.551000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1402664,2.9,10,flircam,2
2025-03-01T16:22:10.432000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1402671,4.5,10,flircam,2
2025-03-01T16:23:35.450000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1402691,4.6,5,flircam,2
2025-03-01T16:23:36.251000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1402693,6.2,5,flircam,2
2025-03-01T16:23:36.917000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1402695,4.8,10,flircam,2
2025-03-01T16:23:37.053000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1402697,5.1,10,flircam,2
2025-03-01T16:24:18.525000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402708,4.9,10,flircam,2
2025-03-01T16:25:58.958000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402721,6.4,10,flircam,2
2025-03-01T17:28:17.771000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1403536,4.3,10,flircam,2
2025-03-01T17:28:26.445000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1403538,4.8,10,flircam,2
2025-03-01T17:30:02.073000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1403549,3.7,10,flircam,2
2025-03-01T17:30:38.744000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1403555,1.6,10,flircam,2
2025-03-01T17:30:42.549000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1403557,3.2,7,flircam,2
2025-03-01T17:30:42.551000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1403558,3.6,8,flircam,2
2025-03-01T17:32:51.813000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1403583,3.7,10,flircam,2
2025-03-01T17:32:56.548000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1403585,3.6,10,flircam,2
2025-03-01T17:32:59.219000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1403588,4.4,10,flircam,2
2025-03-01T17:33:32.217000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1403598,5.6,10,flircam,2
2025-03-01T17:34:11.891000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1403606,6.3,10,flircam,2
2025-03-01T17:35:44.650000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1403626,5.5,10,flircam,2
2025-03-01T19:01:45.822000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1404710,5.2,10,flircam,2
2025-03-01T19:03:50.282000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1404725,4.4,10,flircam,2
2025-03-01T19:03:50.549000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1404727,4.2,10,flircam,2
2025-03-01T19:06:47.626000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1404754,5.1,10,flircam,2
2025-03-01T19:07:10.449000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1404759,4.8,10,flircam,2
2025-03-01T19:09:42.068000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1404783,4.9,10,flircam,2
2025-03-01T21:23:36.655000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1405828,6.6,8,flircam,2
2025-03-01T21:24:31.874000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1405832,5.1,10,flircam,2
2025-03-01T21:24:34.945000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1405834,5.9,10,flircam,2
2025-03-01T21:27:02.090000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1405845,4.3,10,flircam,2
2025-03-01T21:27:25.848000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1405849,4.9,10,flircam,2
2025-03-01T21:31:40.936000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1405876,4.7,10,flircam,2
2025-03-01T21:31:41.003000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1405878,4.7,5,flircam,2
2025-03-01T21:31:59.956000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1405880,5.5,10,flircam,2
2025-03-01T21:32:00.156000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1405882,6.3,10,flircam,2
2025-03-01T21:33:25.877000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1405885,5.8,10,flircam,2
2025-03-01T21:35:47.750000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1405898,5.4,10,flircam,2
2025-03-01T21:38:12.930000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1405911,5.3,10,flircam,2
2025-03-01T21:40:26.301000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1405927,5,10,flircam,2
2025-03-01T21:40:26.964000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1405929,4.8,10,flircam,2
2025-03-01T21:42:23.181000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1405936,5.1,10,flircam,2
2025-03-01T22:07:39.599000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1406061,6.6,10,flircam,2
2025-03-01T22:08:56.042000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1406070,5.9,10,flircam,2
2025-03-01T22:13:47.301000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1406092,6.2,10,flircam,2
2025-03-01T22:14:41.789000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1406099,5.9,10,flircam,2
2025-03-01T22:17:01.963000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1406109,3.8,10,flircam,2
2025-03-01T22:19:12.727000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1406118,5.5,10,flircam,2
2025-03-01T22:24:51.270000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1406144,5.1,10,flircam,2
2025-03-01T22:24:51.400000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1406146,5,10,flircam,2
2025-03-01T22:26:11.814000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1406154,3.9,7,flircam,2
