time,type,text,avc_Vehicle.lane_id,avc_Vehicle.vehicle_id,avc_Vehicle.speed,avc_Vehicle.vehicle_class,avc_Vehicle.vehicle_class_ai,avc_Vehicle.length,avc_Vehicle.confidence,avc_Vehicle.detector_type,source.id
2025-03-01T10:41:21.827000+02:00,avc_VehicleEvent,Vehicle detected,2,1453025,31.4,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:30.102000+02:00,avc_VehicleEvent,Vehicle detected,2,1453026,24.1,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:40.247000+02:00,avc_VehicleEvent,Vehicle detected,2,1453027,46.1,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:44.916000+02:00,avc_VehicleEvent,Vehicle detected,2,1453028,27,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:48.319000+02:00,avc_VehicleEvent,Vehicle detected,2,1453029,35.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:49.988000+02:00,avc_VehicleEvent,Vehicle detected,2,1453030,32.4,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:54.260000+02:00,avc_VehicleEvent,Vehicle detected,2,1453031,29.3,2,Bus,15,10,flircam,97869098849
2025-03-01T10:41:58.729000+02:00,avc_VehicleEvent,Vehicle detected,2,1453034,29.3,2,Bus,15,10,flircam,97869098849
2025-03-01T10:41:59.265000+02:00,avc_VehicleEvent,Vehicle detected,8,1453035,14.2,1,Bicycle,1.8,9,flircam,97869098849
2025-03-01T10:42:01.665000+02:00,avc_VehicleEvent,Vehicle detected,2,1453037,27.3,1,Car,5,10,flircam,97869098849
2025-03-01T10:42:03.669000+02:00,avc_VehicleEvent,Vehicle detected,2,1453038,22.3,1,Car,5,10,flircam,97869098849
2025-03-01T10:42:24.622000+02:00,avc_VehicleEvent,Vehicle detected,2,1453039,36.7,1,Car,5,10,flircam,97869098849
2025-03-01T10:42:34.966000+02:00,avc_VehicleEvent,Vehicle detected,2,1453040,23.5,1,Car,5,10,flircam,97869098849
2025-03-01T10:42:40.041000+02:00,avc_VehicleEvent,Vehicle detected,2,1453041,22.4,1,Car,5,9,flircam,97869098849
2025-03-01T10:42:46.178000+02:00,avc_VehicleEvent,Vehicle detected,2,1453042,21.8,2,Bus,15,10,flircam,97869098849
2025-03-01T10:42:50.716000+02:00,avc_VehicleEvent,Vehicle detected,2,1453043,39.7,1,Car,5,10,flircam,97869098849
2025-03-01T10:42:56.921000+02:00,avc_VehicleEvent,Vehicle detected,2,1453048,33.1,1,Car,5,10,flircam,97869098849
2025-03-01T10:42:59.526000+02:00,avc_VehicleEvent,Vehicle detected,2,1453051,26.1,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:02.794000+02:00,avc_VehicleEvent,Vehicle detected,2,1453052,24.2,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:04.462000+02:00,avc_VehicleEvent,Vehicle detected,2,1453053,25,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:15.674000+02:00,avc_VehicleEvent,Vehicle detected,2,1453056,15.1,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:27.218000+02:00,avc_VehicleEvent,Vehicle detected,2,1453057,34.9,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:30.624000+02:00,avc_VehicleEvent,Vehicle detected,2,1453058,36,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:33.895000+02:00,avc_VehicleEvent,Vehicle detected,2,1453061,29.7,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:35.694000+02:00,avc_VehicleEvent,Vehicle detected,2,1453064,37,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:39.039000+02:00,avc_VehicleEvent,Vehicle detected,2,1453065,24.5,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:45.105000+02:00,avc_VehicleEvent,Vehicle detected,2,1453066,39.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:48.707000+02:00,avc_VehicleEvent,Vehicle detected,2,1453067,39.4,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:52.245000+02:00,avc_VehicleEvent,Vehicle detected,2,1453068,24.9,1,Car,5,10,flircam,97869098849
2025-03-01T10:43:55.447000+02:00,avc_VehicleEvent,Vehicle detected,2,1453069,23.4,1,Car,5,10,flircam,97869098849
2025-03-01T10:44:00.652000+02:00,avc_VehicleEvent,Vehicle detected,2,1453072,23.4,1,Car,5,10,flircam,97869098849
2025-03-01T10:44:05.056000+02:00,avc_VehicleEvent,Vehicle detected,2,1453073,24.9,1,Car,5,10,flircam,97869098849
2025-03-01T10:44:06.724000+02:00,avc_VehicleEvent,Vehicle detected,2,1453074,27.8,1,Car,5,10,flircam,97869098849
2025-03-01T10:44:48.734000+02:00,avc_VehicleEvent,Vehicle detected,2,1453079,25.6,1,Car,5,5,flircam,97869098849
2025-03-01T10:44:54.207000+02:00,avc_VehicleEvent,Vehicle detected,8,1453080,13.5,1,Bicycle,1.8,10,flircam,97869098849
2025-03-01T10:44:55.074000+02:00,avc_VehicleEvent,Vehicle detected,2,1453082,41.8,1,Car,5,10,flircam,97869098849
2025-03-01T10:44:56.810000+02:00,avc_VehicleEvent,Vehicle detected,8,1453083,12.8,1,Bicycle,1.8,10,flircam,97869098849
2025-03-01T10:44:57.877000+02:00,avc_VehicleEvent,Vehicle detected,2,1453085,36.4,1,Car,5,10,flircam,97869098849
2025-03-01T10:45:01.548000+02:00,avc_VehicleEvent,Vehicle detected,2,1453086,30.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:45:06.219000+02:00,avc_VehicleEvent,Vehicle detected,2,1453087,22.3,1,Car,5,10,flircam,97869098849
2025-03-01T10:45:51.429000+02:00,avc_VehicleEvent,Vehicle detected,2,1453092,42.7,1,Car,5,10,flircam,97869098849
2025-03-01T10:45:55.032000+02:00,avc_VehicleEvent,Vehicle detected,2,1453093,35.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:46:03.040000+02:00,avc_VehicleEvent,Vehicle detected,2,1453094,23.9,1,Car,5,10,flircam,97869098849
2025-03-01T10:46:12.017000+02:00,avc_VehicleEvent,Vehicle detected,2,1453096,26.7,1,Car,5,10,flircam,97869098849
2025-03-01T11:55:24.032000+02:00,avc_VehicleEvent,Vehicle detected,2,1454164,27.4,1,Car,5,10,flircam,97869098849
2025-03-01T11:55:28.236000+02:00,avc_VehicleEvent,Vehicle detected,2,1454165,32.6,1,Car,5,6,flircam,97869098849
2025-03-01T11:55:32.106000+02:00,avc_VehicleEvent,Vehicle detected,2,1454166,23.3,1,Car,5,10,flircam,97869098849
2025-03-01T11:55:34.912000+02:00,avc_VehicleEvent,Vehicle detected,2,1454167,27.2,1,Car,5,10,flircam,97869098849
2025-03-01T11:55:52.295000+02:00,avc_VehicleEvent,Vehicle detected,2,1454168,26.6,1,Car,5,10,flircam,97869098849
2025-03-01T11:55:59.704000+02:00,avc_VehicleEvent,Vehicle detected,2,1454169,39.5,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:01.436000+02:00,avc_VehicleEvent,Vehicle detected,2,1454170,41.3,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:04.706000+02:00,avc_VehicleEvent,Vehicle detected,2,1454171,29.6,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:12.780000+02:00,avc_VehicleEvent,Vehicle detected,2,1454172,35.2,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:14.915000+02:00,avc_VehicleEvent,Vehicle detected,2,1454173,35.2,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:18.785000+02:00,avc_VehicleEvent,Vehicle detected,2,1454174,22.8,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:22.723000+02:00,avc_VehicleEvent,Vehicle detected,2,1454175,31.4,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:25.994000+02:00,avc_VehicleEvent,Vehicle detected,2,1454176,21.5,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:30.600000+02:00,avc_VehicleEvent,Vehicle detected,2,1454177,32.2,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:32.200000+02:00,avc_VehicleEvent,Vehicle detected,2,1454178,39.9,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:35.138000+02:00,avc_VehicleEvent,Vehicle detected,2,1454181,38.6,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:37.405000+02:00,avc_VehicleEvent,Vehicle detected,2,1454182,38.4,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:39.877000+02:00,avc_VehicleEvent,Vehicle detected,2,1454183,33.6,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:41.945000+02:00,avc_VehicleEvent,Vehicle detected,2,1454184,37.7,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:44.420000+02:00,avc_VehicleEvent,Vehicle detected,2,1454185,37.9,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:46.819000+02:00,avc_VehicleEvent,Vehicle detected,2,1454186,30.4,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:52.622000+02:00,avc_VehicleEvent,Vehicle detected,2,1454187,29.5,2,Bus,15,10,flircam,97869098849
2025-03-01T11:56:56.491000+02:00,avc_VehicleEvent,Vehicle detected,2,1454188,21.3,1,Car,5,10,flircam,97869098849
2025-03-01T11:56:59.029000+02:00,avc_VehicleEvent,Vehicle detected,2,1454189,21.3,1,Car,5,10,flircam,97869098849
2025-03-01T11:57:01.029000+02:00,avc_VehicleEvent,Vehicle detected,2,1454190,24.9,1,Car,5,10,flircam,97869098849
2025-03-01T11:57:02.631000+02:00,avc_VehicleEvent,Vehicle detected,2,1454191,22.4,1,Car,5,10,flircam,97869098849
2025-03-01T11:57:05.433000+02:00,avc_VehicleEvent,Vehicle detected,2,1454192,23.9,1,Car,5,10,flircam,97869098849
2025-03-01T11:57:07.103000+02:00,avc_VehicleEvent,Vehicle detected,2,1454193,27.2,1,Car,5,10,flircam,97869098849
2025-03-01T11:57:10.305000+02:00,avc_VehicleEvent,Vehicle detected,2,1454196,25.5,2,Van,6,7,flircam,97869098849
2025-03-01T11:57:14.208000+02:00,avc_VehicleEvent,Vehicle detected,2,1454197,21.3,1,Car,5,10,flircam,97869098849
2025-03-01T11:57:16.279000+02:00,avc_VehicleEvent,Vehicle detected,2,1454198,25.2,1,Car,5,10,flircam,97869098849
2025-03-01T11:57:20.616000+02:00,avc_VehicleEvent,Vehicle detected,2,1454199,37.4,1,Car,5,10,flircam,97869098849
2025-03-01T11:57:23.898000+02:00,avc_VehicleEvent,Vehicle detected,2,1454202,23.8,1,Car,5,7,flircam,97869098849
2025-03-01T11:57:26.888000+02:00,avc_VehicleEvent,Vehicle detected,2,1454203,27.8,1,Car,5,10,flircam,97869098849
2025-03-01T11:57:46.774000+02:00,avc_VehicleEvent,Vehicle detected,2,1454216,29.5,1,Car,5,10,flircam,97869098849
